PORT Code,SB no,SB date,Details,Current status,EGM no,ROSL,GST,Gateway,SB_Year
TUGLAKABAD ICD (INTKD6),7642279,2017/07/27,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0508003300  AHDPK8975CCH001  4959794  27 JUL 2017 12:07  SGSIN  45  24734  7984172.5  0  159683  0  159683  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  29 JUL 2017 00:07  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R777360308  2017-8-3 0.0.0.0  NYKU4725340  396275  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXH1ZO
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXX-18  2017-07-25  1437149 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  131685  2017-07-18 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7646561,2017/07/28,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0513056661  AHEPG6607LCH001  4964475  28 JUL 2017 12:07  ALDRZ  194  9553.6  1221257.4  0  52787  0  52787  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  31 JUL 2017 00:07  Y  22032/2017  06 OCT 2017 00:10  Y ","EGM No. EGM Date Container No. Seal No. Error Message
J187520408  2017-8-4 0.0.0.0  IPXU3207943  397043  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    07DXXXXXXXXB1ZH
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXX/01  2017-07-24  354254 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  132025  2017-07-24 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7649257,2017/07/28,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0593058577  ADWPT4152FCH001  4967401  28 JUL 2017 12:07  BEANR  8  7650  1567732  0  31355  0  31355  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  31 JUL 2017 00:07  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
T967140708  2017-8-7 0.0.0.0  CRSU1370710  397366  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXK1ZT
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXX002  2017-07-24  129600 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  132025  2017-07-24 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7662086,2017/07/28,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0516929674  AAJPA1764ECH001  4981455  28 JUL 2017 12:07  AEJEA  1105  12723  3580704.04  0  53711  0  53711  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  02 AUG 2017 00:08  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R627900608  2017-8-6 0.0.0.0  ESPU8041896  397273  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXK1Z7
Invoice Number Invoice Date IGST Paid(INR)
006  2017-07-27  647383 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  132629  2017-08-03 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7690771,2017/07/29,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0506046231  ADFFS3281FCH001  5012821  29 JUL 2017 12:07  GBTEE  22  22672  1792796.58  0  26892  0  26892  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 AUG 2017 00:08  Y  29620/2018  13 SEP 2018 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
J187520408  2017-8-4 0.0.0.0  TCNU8236209  009265  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXQ1ZC
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXX/09  2017-07-29  249841 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  132146  2017-07-26 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7692707,2017/07/29,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0591026007  AHDPK8975CCH001  5014940  29 JUL 2017 12:07  USCHI  11  6695.87  876541.3  0  17199  0  17199  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R187761108  2017-8-11 0.0.0.0  IALU2255050  398038  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    09AXXXXXXXXC2Z0
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXXXX7-1  2017-07-10  53663 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  132431  2017-07-31 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7703453,2017/07/31,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0500016143  AEAPD9155RCH001  5026572  31 JUL 2017 12:07  DEHAM  78  1938  477658.43  0  6592  0  6592  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R757581008  2017-8-10 0.0.0.0  GESU5984802  398012  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    07AXXXXXXXXE1Z5
Invoice Number Invoice Date IGST Paid(INR)
681  2017-07-22  78589 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  N.A.  N.A.  N.A.  N.A. ",2017
TUGLAKABAD ICD (INTKD6),7712075,2017/07/31,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
1308012381  AADCS9253MCH002  5035989  31 JUL 2017 12:07  DEHAM  72  6232  7004230.27  0  140085  0  140085  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  02 AUG 2017 00:08  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
T857300308  2017-8-3 0.0.0.0  FCIU2829217  014230  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    08AXXXXXXXXR1ZR
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXXXX078  2017-07-24  1961181 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INMUN1  134637  2017-09-06 00:00:00.0  INMUN1  S ",2017
TUGLAKABAD ICD (INTKD6),7718281,2017/07/31,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0588055964  AAICS8856RCH001  5042770  31 JUL 2017 12:07  AUMEL  1  87  196215  0  3924  0  3924  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  02 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R757581008  2017-8-10 0.0.0.0  VSTU9000189  398018  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    07AXXXXXXXXQ1ZK
Invoice Number Invoice Date IGST Paid(INR)
X/26  2017-07-31  35661 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  133033  2017-08-10 00:00:00.0  INNSA1  C ",2017
TUGLAKABAD ICD (INTKD6),7721241,2017/07/31,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
3306001678  AMEPS4194BCH001  5046037  31 JUL 2017 12:07  GBFXT  23  13328  6578725.36  0  28470  0  28470  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 AUG 2017 00:08  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R627900608  2017-8-6 0.0.0.0  TCLU5214235  397616  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXG1ZX
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXXXX001  2017-07-28  14574 ",Please Wait....,2017
TUGLAKABAD ICD (INTKD6),7742310,2017/08/01,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0517528762  AHFPR4981HCH001  5068904  01 AUG 2017 12:08  KWKWI  97  2782.53  3348526.5  0  254777  0  254777  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R467841108  2017-8-11 0.0.0.0  PCIU8208557  398061  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
Y  109868  25635/2017  2017-9-15 0.0.0.0 ","GSTIN    -    07AXXXXXXXXF1Z8
Invoice Number Invoice Date IGST Paid(INR)
XXXXXX001  2017-08-01  167681 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  169501  2019-03-29 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7747150,2017/08/01,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0509037844  AGYPS4804QCH001  5074148  01 AUG 2017 12:08  AUSYD  1  140  140970  0  8459  0  8459  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R757581008  2017-8-10 0.0.0.0  GESU4903350  398031  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    09AXXXXXXXXK2ZT
Invoice Number Invoice Date IGST Paid(INR)
37  2017-07-31  25718 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  132812  2017-08-07 00:00:00.0  INNSA1  C ",2017
TUGLAKABAD ICD (INTKD6),7751210,2017/08/01,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0596061315  AABCC8115GCH002  5078635  01 AUG 2017 12:08  AEJEA  181  2440  740254.43  0  30293  0  30293  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
T587961208  2017-8-12 0.0.0.0  VMLU3602131  398041  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    07AXXXXXXXXM1ZP
Invoice Number Invoice Date IGST Paid(INR)
XXXX265  2017-08-01  16847 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  N.A.  N.A.  N.A.  N.A. ",2017
TUGLAKABAD ICD (INTKD6),7759192,2017/08/02,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0598005498  AANCS5422NCH004  5087233  02 AUG 2017 12:08  MACAS  220  3609.59  452450.2  0  7418  0  7418  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  10 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
T857661708  2017-8-17 0.0.0.0  MRKU7285779  398326  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    07AXXXXXXXXL1ZI
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXX017  2017-07-03  66431 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INPAV1  132210  2017-07-26 00:00:00.0  INPAV1  S ",2017
TUGLAKABAD ICD (INTKD6),7764000,2017/08/02,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0596009488  ADFFS3281FCH001  5092423  02 AUG 2017 12:08  ITSPE  1004  7676.556  6205570.52  0  55644  0  55644  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
T887020608  2017-8-6 0.0.0.0  CSLU2276080  396967  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    09AXXXXXXXXC1Z4
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXXXX-18  2017-07-15  310271 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  132737  2017-08-04 00:00:00.0  INNSA1  S ",2017
